Year,Data Contributor,# of Reports,%
2022,FTC - Web Reports (IDT),"796,366",14.98%
2022,FTC - Web Reports (Fraud & Other),"693,789",13.05%
2022,FTC - Mobile Reports (Fraud & Other),"622,035",11.70%
2022,FTC - Mobile Reports (IDT),"191,494",3.60%
2022,"FTC - ""877 FTC HELP"" (Fraud & Other)","155,803",2.93%
2022,"FTC - ""877 ID THEFT""","100,294",1.89%
2023,FTC - Web Reports (IDT),"696,163",12.55%
2023,FTC - Web Reports (Fraud & Other),"702,598",12.66%
2023,FTC - Mobile Reports (Fraud & Other),"633,956",11.43%
2023,FTC - Mobile Reports (IDT),"224,730",4.05%
2023,"FTC - ""877 FTC HELP"" (Fraud & Other)","137,005",2.47%
2023,"FTC - ""877 ID THEFT""","106,112",1.91%
2024,FTC - Web Reports (IDT),"787,763",12.17%
2024,FTC - Web Reports (Fraud & Other),"715,248",11.05%
2024,FTC - Mobile Reports (Fraud & Other),"681,383",10.53%
2024,FTC - Mobile Reports (IDT),"240,869",3.72%
2024,"FTC - ""877 FTC HELP"" (Fraud & Other)","135,095",2.09%
2024,"FTC - ""877 ID THEFT""","104,102",1.61%
