Year,Data Contributor,# of Reports,%
2022,Others,"50,653",0.95%
2022,AARP Fraud Watch Network,"48,060",0.90%
2022,Publisher's Clearing House,"93,433",1.76%
2022,Social Security Administration,"29,320",0.55%
2022,MoneyGram International & Western Union Money Transfer,"36,120",0.68%
2022,U.S. Postal Inspection Service,"27,943",0.53%
2022,Microsoft Corporation Cyber Crime Center,"35,557",0.67%
2022,Task Force on Market Integrity and Consumer Fraud,"5,865",0.11%
2022,Scam Detector,"26,467",0.50%
2023,Others,"59,442",1.07%
2023,AARP Fraud Watch Network,"76,885",1.39%
2023,Publisher's Clearing House,"108,909",1.96%
2023,Social Security Administration,"42,716",0.77%
2023,MoneyGram International & Western Union Money Transfer,"37,477",0.68%
2023,USA.gov,"1,418",0.03%
2023,U.S. Postal Inspection Service,"19,280",0.35%
2023,Microsoft Corporation Cyber Crime Center,"29,563",0.53%
2023,Task Force on Market Integrity and Consumer Fraud,"16,671",0.30%
2023,Scam Detector,"17,786",0.32%
2024,Others,"89,127",1.38%
2024,AARP Fraud Watch Network,"78,630",1.21%
2024,Publisher's Clearing House,"48,306",0.75%
2024,Social Security Administration,"47,967",0.74%
2024,MoneyGram International & Western Union Money Transfer,"34,707",0.54%
2024,USA.gov,"24,898",0.38%
2024,U.S. Postal Inspection Service,"20,628",0.32%
2024,Microsoft Corporation Cyber Crime Center,"19,773",0.31%
2024,Task Force on Market Integrity and Consumer Fraud,"16,952",0.26%
2024,Scam Detector,"11,816",0.18%
