Rank,Category,Num of Reports,% Reporting $ Loss,Total $ Loss,Median $ Loss
1,Imposter Scams,"44,587",23%,$199.6M,"$1,110 "
2,Online Shopping and Negative Reviews,"11,515",81%,$22.5M,$150
3,Investment Related,"4,750",73%,$208.1M,"$10,000 "
4,Business and Job Opportunities,"4,655",35%,$38.4M,"$2,800 "
5,"Prizes, Sweepstakes and Lotteries","3,469",33%,$29.2M,"$1,665 "
6,Internet Services,"2,558",18%,$3.2M,$214
7,Telephone and Mobile Services,"2,247",42%,$2.6M,$200
8,Mortgage Foreclosure Relief and Debt Management,"2,071",26%,$9.4M,"$1,356 "
9,"Travel, Vacations and Timeshare Plans","1,385",71%,$18.6M,"$2,746 "
10,Advance Payments for Credit Services,"1,189",34%,$9.7M,"$1,350 "
