Year,Data Contributor,# of Reports,%
2022,Consumer Financial Protection Bureau,"811,836",15.27%
2022,Better Business Bureau,"1,010,318",19.00%
2022,Internet Crime Complaint Center,"145,103",2.73%
2022,U.S. Department of Education,"97,076",1.83%
2022,Australian Competition and Consumer Commission,"178,719",3.36%
2023,Consumer Financial Protection Bureau,"959,033",17.28%
2023,Better Business Bureau,"1,015,776",18.31%
2023,Internet Crime Complaint Center,"160,288",2.89%
2023,U.S. Department of Education,"119,748",2.16%
2023,Australian Competition and Consumer Commission,"214,468",3.87%
2024,Consumer Financial Protection Bureau,"1,684,949",26.04%
2024,Better Business Bureau,"1,073,372",16.59%
2024,Internet Crime Complaint Center,"195,395",3.02%
2024,U.S. Department of Education,"159,746",2.47%
2024,Australian Competition and Consumer Commission,"148,346",2.29%
