Metropolitan Area,# of Reports
"Anniston-Oxford, AL Metropolitan Statistical Area","1,299"
"Auburn-Opelika, AL Metropolitan Statistical Area","2,141"
"Birmingham, AL Metropolitan Statistical Area","20,649"
"Columbus, GA-AL Metropolitan Statistical Area","5,541"
"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area","2,652"
"Decatur, AL Metropolitan Statistical Area","1,248"
"Dothan, AL Metropolitan Statistical Area","1,471"
"Florence-Muscle Shoals, AL Metropolitan Statistical Area","1,167"
"Gadsden, AL Metropolitan Statistical Area","1,047"
"Huntsville, AL Metropolitan Statistical Area","7,978"
"LaGrange, GA-AL Micropolitan Statistical Area","1,453"
"Mobile, AL Metropolitan Statistical Area","6,371"
"Montgomery, AL Metropolitan Statistical Area","6,748"
"Tuscaloosa, AL Metropolitan Statistical Area","5,391"
