Metropolitan Area,# of Reports
"Bloomington, IN Metropolitan Statistical Area","1,382"
"Chicago-Naperville-Elgin, IL-IN Metropolitan Statistical Area","158,000"
"Cincinnati, OH-KY-IN Metropolitan Statistical Area","24,149"
"Elkhart-Goshen, IN Metropolitan Statistical Area","1,395"
"Evansville, IN Metropolitan Statistical Area","2,472"
"Fort Wayne, IN Metropolitan Statistical Area","4,431"
"Indianapolis-Carmel-Greenwood, IN Metropolitan Statistical Area","31,318"
"Lafayette-West Lafayette, IN Metropolitan Statistical Area","1,613"
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","14,501"
"Michigan City-La Porte, IN Metropolitan Statistical Area","1,073"
"Muncie, IN Metropolitan Statistical Area",850
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area","3,006"
"Terre Haute, IN Metropolitan Statistical Area","1,121"
