Metropolitan Area,# of Reports
"Bowling Green, KY Metropolitan Statistical Area","1,257"
"Cincinnati, OH-KY-IN Metropolitan Statistical Area","24,149"
"Clarksville, TN-KY Metropolitan Statistical Area","4,186"
"Corbin, KY Micropolitan Statistical Area",826
"Elizabethtown, KY Metropolitan Statistical Area","1,880"
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area","2,569"
"Lexington-Fayette, KY Metropolitan Statistical Area","5,868"
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","14,501"
"Owensboro, KY Metropolitan Statistical Area",735
"Paducah, KY-IL Metropolitan Statistical Area",785
"Richmond-Berea, KY Micropolitan Statistical Area",992
