Metropolitan Area,# of Reports
"Alexandria, LA Metropolitan Statistical Area","2,398"
"Baton Rouge, LA Metropolitan Statistical Area","15,942"
"Hammond, LA Metropolitan Statistical Area","1,488"
"Houma-Bayou Cane-Thibodaux, LA Metropolitan Statistical Area","1,674"
"Lafayette, LA Metropolitan Statistical Area","6,545"
"Lake Charles, LA Metropolitan Statistical Area","2,309"
"Monroe, LA Metropolitan Statistical Area","2,522"
"New Orleans-Metairie, LA Metropolitan Statistical Area","17,332"
"Shreveport-Bossier City, LA Metropolitan Statistical Area","6,883"
"Slidell-Mandeville-Covington, LA Metropolitan Statistical Area","3,356"
