Metropolitan Area,# of Reports
"Ann Arbor, MI Metropolitan Statistical Area","4,321"
"Battle Creek, MI Metropolitan Statistical Area","1,143"
"Bay City, MI Metropolitan Statistical Area",708
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area","66,361"
"Flint, MI Metropolitan Statistical Area","4,978"
"Grand Rapids-Wyoming-Kentwood, MI Metropolitan Statistical Area","10,409"
"Holland, MI Micropolitan Statistical Area",702
"Jackson, MI Metropolitan Statistical Area","1,437"
"Kalamazoo-Portage, MI Metropolitan Statistical Area","2,954"
"Lansing-East Lansing, MI Metropolitan Statistical Area","4,598"
"Monroe, MI Metropolitan Statistical Area","1,157"
"Muskegon-Norton Shores, MI Metropolitan Statistical Area","1,437"
"Niles, MI Metropolitan Statistical Area","1,376"
"Saginaw, MI Metropolitan Statistical Area","1,500"
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area","3,006"
"Traverse City, MI Metropolitan Statistical Area","1,145"
