Metropolitan Area,# of Reports
"Albany-Schenectady-Troy, NY Metropolitan Statistical Area","10,455"
"Binghamton, NY Metropolitan Statistical Area","2,296"
"Buffalo-Cheektowaga, NY Metropolitan Statistical Area","11,637"
"Glens Falls, NY Metropolitan Statistical Area",960
"Ithaca, NY Metropolitan Statistical Area",967
"Jamestown-Dunkirk, NY Micropolitan Statistical Area","1,025"
"Kingston, NY Metropolitan Statistical Area","2,114"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metropolitan Statistical Area","8,844"
"Massena-Ogdensburg, NY Micropolitan Statistical Area",915
"New York-Newark-Jersey City, NY-NJ Metropolitan Statistical Area","309,066"
"Rochester, NY Metropolitan Statistical Area","11,364"
"Syracuse, NY Metropolitan Statistical Area","6,626"
"Utica-Rome, NY Metropolitan Statistical Area","2,444"
"Watertown-Fort Drum, NY Metropolitan Statistical Area","1,009"
