Metropolitan Area,# of Reports
"Anderson Creek, NC Micropolitan Statistical Area","1,635"
"Asheville, NC Metropolitan Statistical Area","5,270"
"Burlington, NC Metropolitan Statistical Area","1,945"
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","48,136"
"Durham-Chapel Hill, NC Metropolitan Statistical Area","7,936"
"Fayetteville, NC Metropolitan Statistical Area","6,492"
"Goldsboro, NC Metropolitan Statistical Area","1,182"
"Greensboro-High Point, NC Metropolitan Statistical Area","11,078"
"Greenville, NC Metropolitan Statistical Area","2,360"
"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area","3,563"
"Jacksonville, NC Metropolitan Statistical Area","2,239"
"Lumberton, NC Micropolitan Statistical Area","1,760"
"New Bern, NC Micropolitan Statistical Area","1,390"
"Pinehurst-Southern Pines, NC Metropolitan Statistical Area","1,004"
"Raleigh-Cary, NC Metropolitan Statistical Area","21,651"
"Rocky Mount, NC Metropolitan Statistical Area","1,912"
"Shelby-Kings Mountain, NC Micropolitan Statistical Area","1,059"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metropolitan Statistical Area","28,077"
"Wilmington, NC Metropolitan Statistical Area","5,300"
"Winston-Salem, NC Metropolitan Statistical Area","7,415"
