Metropolitan Area,# of Reports
"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area","14,070"
"Altoona, PA Metropolitan Statistical Area","1,046"
"Chambersburg, PA Metropolitan Statistical Area","1,127"
"East Stroudsburg, PA Micropolitan Statistical Area","3,332"
"Erie, PA Metropolitan Statistical Area","2,425"
"Gettysburg, PA Metropolitan Statistical Area",785
"Harrisburg-Carlisle, PA Metropolitan Statistical Area","7,336"
"Hermitage, PA Micropolitan Statistical Area",839
"Johnstown, PA Metropolitan Statistical Area","1,112"
"Lancaster, PA Metropolitan Statistical Area","4,675"
"Lebanon, PA Metropolitan Statistical Area","1,455"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","121,966"
"Pittsburgh, PA Metropolitan Statistical Area","30,335"
"Pottsville, PA Micropolitan Statistical Area","1,407"
"Reading, PA Metropolitan Statistical Area","5,043"
"Scranton--Wilkes-Barre, PA Metropolitan Statistical Area","7,162"
"State College, PA Metropolitan Statistical Area","1,244"
"Sunbury, PA Micropolitan Statistical Area","1,016"
"Williamsport, PA Metropolitan Statistical Area",902
"York-Hanover, PA Metropolitan Statistical Area","4,617"
