Metropolitan Area,# of Reports
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area","9,834"
"Charleston-North Charleston, SC Metropolitan Statistical Area","17,509"
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","48,136"
"Columbia, SC Metropolitan Statistical Area","13,548"
"Florence, SC Metropolitan Statistical Area","2,797"
"Greenville-Anderson-Greer, SC Metropolitan Statistical Area","13,480"
"Hilton Head Island-Bluffton-Port Royal, SC Metropolitan Statistical Area","2,611"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metropolitan Statistical Area","5,559"
"Spartanburg, SC Metropolitan Statistical Area","4,616"
"Sumter, SC Metropolitan Statistical Area","1,451"
