Metropolitan Area,# of Reports
"Bellingham, WA Metropolitan Statistical Area","2,461"
"Bremerton-Silverdale-Port Orchard, WA Metropolitan Statistical Area","3,269"
"Kennewick-Richland, WA Metropolitan Statistical Area","2,328"
"Longview-Kelso, WA Metropolitan Statistical Area",947
"Moses Lake, WA Micropolitan Statistical Area",571
"Mount Vernon-Anacortes, WA Metropolitan Statistical Area","1,164"
"Olympia-Lacey-Tumwater, WA Metropolitan Statistical Area","3,621"
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","29,934"
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","50,609"
"Spokane-Spokane Valley, WA Metropolitan Statistical Area","6,424"
"Wenatchee-East Wenatchee, WA Metropolitan Statistical Area",925
"Yakima, WA Metropolitan Statistical Area","1,515"
