Metropolitan Area,# of Reports
"Anniston-Oxford, AL Metropolitan Statistical Area",264
"Auburn-Opelika, AL Metropolitan Statistical Area",451
"Birmingham, AL Metropolitan Statistical Area","3,968"
"Columbus, GA-AL Metropolitan Statistical Area","1,302"
"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",467
"Decatur, AL Metropolitan Statistical Area",260
"Dothan, AL Metropolitan Statistical Area",314
"Florence-Muscle Shoals, AL Metropolitan Statistical Area",223
"Gadsden, AL Metropolitan Statistical Area",181
"Huntsville, AL Metropolitan Statistical Area","1,459"
"LaGrange, GA-AL Micropolitan Statistical Area",453
"Mobile, AL Metropolitan Statistical Area","1,355"
"Montgomery, AL Metropolitan Statistical Area","1,491"
"Tuscaloosa, AL Metropolitan Statistical Area",902
