Metropolitan Area,# of Reports
"Alexandria, LA Metropolitan Statistical Area",289
"Baton Rouge, LA Metropolitan Statistical Area","4,604"
"Hammond, LA Metropolitan Statistical Area",401
"Houma-Bayou Cane-Thibodaux, LA Metropolitan Statistical Area",430
"Lafayette, LA Metropolitan Statistical Area","1,168"
"Lake Charles, LA Metropolitan Statistical Area",505
"Monroe, LA Metropolitan Statistical Area",640
"New Orleans-Metairie, LA Metropolitan Statistical Area","4,268"
"Shreveport-Bossier City, LA Metropolitan Statistical Area","1,334"
"Slidell-Mandeville-Covington, LA Metropolitan Statistical Area",757
