Metropolitan Area,# of Reports
"Ann Arbor, MI Metropolitan Statistical Area",771
"Battle Creek, MI Metropolitan Statistical Area",196
"Bay City, MI Metropolitan Statistical Area",119
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area","15,687"
"Flint, MI Metropolitan Statistical Area",932
"Grand Rapids-Wyoming-Kentwood, MI Metropolitan Statistical Area","1,742"
"Holland, MI Micropolitan Statistical Area",95
"Jackson, MI Metropolitan Statistical Area",206
"Kalamazoo-Portage, MI Metropolitan Statistical Area",474
"Lansing-East Lansing, MI Metropolitan Statistical Area",706
"Monroe, MI Metropolitan Statistical Area",208
"Muskegon-Norton Shores, MI Metropolitan Statistical Area",291
"Niles, MI Metropolitan Statistical Area",240
"Saginaw, MI Metropolitan Statistical Area",280
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",475
"Traverse City, MI Metropolitan Statistical Area",178
