Metropolitan Area,# of Reports
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area","2,113"
"Charleston-North Charleston, SC Metropolitan Statistical Area","2,790"
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","10,144"
"Columbia, SC Metropolitan Statistical Area","2,758"
"Florence, SC Metropolitan Statistical Area",640
"Greenville-Anderson-Greer, SC Metropolitan Statistical Area","2,525"
"Hilton Head Island-Bluffton-Port Royal, SC Metropolitan Statistical Area",448
"Myrtle Beach-Conway-North Myrtle Beach, SC Metropolitan Statistical Area",944
"Spartanburg, SC Metropolitan Statistical Area",972
"Sumter, SC Metropolitan Statistical Area",392
