Metropolitan Area,# of Reports
"Bellingham, WA Metropolitan Statistical Area",350
"Bremerton-Silverdale-Port Orchard, WA Metropolitan Statistical Area",370
"Kennewick-Richland, WA Metropolitan Statistical Area",385
"Longview-Kelso, WA Metropolitan Statistical Area",135
"Moses Lake, WA Micropolitan Statistical Area",110
"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",146
"Olympia-Lacey-Tumwater, WA Metropolitan Statistical Area",525
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","4,548"
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","7,838"
"Spokane-Spokane Valley, WA Metropolitan Statistical Area","1,063"
"Wenatchee-East Wenatchee, WA Metropolitan Statistical Area",132
"Yakima, WA Metropolitan Statistical Area",249
